Cusp_ID,Id,Cycloid_Nu,Confidence,CompassA,DirMean,CirVar,AveX,AveY,AveLen,Lat_dd,Long_dd
1,1,1,1,113.8698074,336.1301926,0,-4672598.945,1237397.051,20759.5085,45.386,8.614
1,1,1,1,357.273689,92.72631099,0,-4682785.423,1244408.523,4171.917871,45.644,8.24
2,2,1,1,62.73258391,152.7325839,0,-4670283.836,1238521.532,16892.2344,45.428,8.699
2,2,1,1,7.00E-15,90,0,-4678055.987,1245036.91,3836.466006,45.667,8.414
3,3,1,2,355.515394,94.48460601,0,-4673425.769,1245202.275,3383.804177,45.673,8.584
4,1,2,1,127.0025265,322.9974735,0,-4748043.71,1135533.587,18288.08557,41.65,5.847
4,1,2,1,6.613460482,83.38653952,0,-4755134.558,1145746.524,7351.432981,42.025,5.587
5,2,2,2,9.819300639,80.18069936,0,-4748837.462,1141671.932,5585.16417,41.875,5.818
6,1,3,1,147.7632134,302.2367866,0,-4630568.475,954769.8919,27776.81987,35.02,10.156
6,1,3,1,68.94042668,21.05957332,0,-4625223.881,972113.3641,24666.32636,35.656,10.352
7,1,4,1,138.4473869,311.5526131,0,-4172706.101,1326316.191,31113.08229,48.648,26.95
7,1,4,1,26.22196678,63.77803322,0,-4178923.822,1349996.446,19760.71284,49.516,26.722
8,1,5,1,103.9283419,346.0716581,0,-4162508.598,-1052987.266,42593.58506,-38.622,27.324
8,1,5,1,350.0958168,99.90418321,0,-4187644.065,-1033804.936,21151.20036,-37.919,26.402
9,1,6,2,202.9321004,247.0678996,0,-4482721.218,-1135901.234,9336.896096,-41.664,15.579
9,1,6,2,54.63753811,35.36246189,0,-4475775.891,-1127963.718,12572.08442,-41.372,15.833
10,2,6,2,198.4349488,251.5650512,0,-4381021.796,-1036682.285,4183.438188,-38.024,19.309
10,2,6,2,49.89909245,40.10090755,0,-4377218.402,-1032052.068,8215.158504,-37.855,19.448
11,3,6,2,202.1663458,247.8336542,0,-4306442.219,-957141.7618,9642.34859,-35.107,22.044
11,3,6,2,47.72631099,42.27368901,0,-4300985.177,-949369.6108,9833.304723,-34.822,22.244
12,4,6,1,199.7988764,250.2011236,0,-4228389.98,-869829.0871,8787.709984,-31.904,24.907
12,4,6,1,58.57043439,31.42956561,0,-4223925.127,-863875.9502,6976.753367,-31.686,25.071
13,5,6,2,204.7751406,245.2248594,0,-4159102.081,-794918.7811,9470.660999,-29.157,27.449
13,5,6,2,51.14662566,38.85337434,0,-4151164.565,-785823.7108,15288.87839,-28.823,27.74
14,1,7,1,129.0355129,320.9644871,0,-4787621.046,-265332.1316,12603.19338,-9.732,4.395
14,1,7,1,5.767888898,84.2321111,0,-4792145.43,-255013.361,10530.83659,-9.354,4.229
15,2,7,1,101.1648802,348.8351198,0,-4664086.841,-392491.1359,8198.514269,-14.396,8.926
15,2,7,1,351.1796204,98.82037955,0,-4669325.601,-387675.7096,6211.80704,-14.22,8.734
15,2,7,3,351.8698976,98.13010235,0,-4665039.343,-387675.7096,4490.137041,-14.22,8.891
16,3,7,1,105.4077036,344.5922964,0,-4526238.648,-493668.005,13941.93777,-18.107,13.982
